Group/Artist,Song,Score,Comment,YT Link,Due November 1st
Miss A,Bad Girl Good Girl,1,,https://www.youtube.com/watch?v=8TeeJvcBdLA,
Miss A,Breathe,1,,https://www.youtube.com/watch?v=wTnwjlDhAY4,
Miss A,Love Alone,1,,https://www.youtube.com/watch?v=dBR0oEUIoGI,
Miss A,Goodbye Baby,2,,https://www.youtube.com/watch?v=EYKO1za5mX0,
Miss A,Touch,1,,https://www.youtube.com/watch?v=aF8Fst_zonU,
Miss A,I Don't Need A Man,10,,https://www.youtube.com/watch?v=EkSOOiMDGiY,
Miss A,Hush,5,,https://www.youtube.com/watch?v=dp0F18FFCTE,
Miss A,Only You,10,,https://www.youtube.com/watch?v=zO9RzrhYR-I,
Miss A,Overall,1,,,
Sistar,Push Push,5,,https://www.youtube.com/watch?v=75y5iN7z-08,
Sistar,Shady Girl,4,,https://www.youtube.com/watch?v=7VpLniRbPI8,
Sistar,How Dare You,6,,https://www.youtube.com/watch?v=DQ1hvB_L30o,
Sistar,So Cool,6,,https://www.youtube.com/watch?v=Pj3q0ZChgFE,
Sistar,Alone,10,,https://www.youtube.com/watch?v=E0ZHXVp_wUE,
Sistar,Loving U,5,,https://www.youtube.com/watch?v=oL2AlXWVbKU,
Sistar,Give It To Me,9,,https://www.youtube.com/watch?v=p6XLNsJ9YrA,
Sistar,Touch My Body,9,,https://www.youtube.com/watch?v=9txzvu6eQuw,
Sistar,I Swear,10,,https://www.youtube.com/watch?v=ktEEjk3Xy3s,
Sistar,Shake It,9,,https://www.youtube.com/watch?v=x9-TIy7WPQI,
Sistar,I Like That,11,best kpop girl group song that exists,https://www.youtube.com/watch?v=LJVUjmNMF8c,
Sistar,Lonely,10,,https://www.youtube.com/watch?v=KbXV2R_Yd1E,
Sistar,Overall,10,,,
SNSD,Into The New World,10,,https://www.youtube.com/watch?v=0k2Zzkw_-0I,
SNSD,Girls' Generation,9,,https://www.youtube.com/watch?v=IbLh4i40I4E,
SNSD,Kissing You,3,,https://www.youtube.com/watch?v=r3yxxe66LXs,
SNSD,Baby Baby,2,,https://www.youtube.com/watch?v=J0OGl8WzpXM,
SNSD,Gee,9,,https://www.youtube.com/watch?v=U7mPqycQ0tQ,
SNSD,Way To Go,6,,https://www.youtube.com/watch?v=_0Ke2fThnG0,
SNSD,Genie,8,,https://www.youtube.com/watch?v=6SwiSpudKWI,
SNSD,Oh!,10,,https://www.youtube.com/watch?v=TGbwL8kSpEk,
SNSD,Run Devil Run,7,,https://www.youtube.com/watch?v=q_gfD3nvh-8,
SNSD,Hoot,4,,https://www.youtube.com/watch?v=F4-SxcCO5d0,
SNSD,The Boys,8,,https://www.youtube.com/watch?v=6pA_Tou-DPI,
SNSD,Mr. Taxi,10,,https://www.youtube.com/watch?v=-QDgMh_9Dy0,
SNSD,Dancing Queen,5,,https://www.youtube.com/watch?v=EXZxc8GSXnI,
SNSD,I Got A Boy,10,,https://www.youtube.com/watch?v=wq7ftOZBy0E,
SNSD,Mr. Mr.,5,,https://www.youtube.com/watch?v=Z8j_XEn9b_8,
SNSD,Catch Me If You Can,3,,https://www.youtube.com/watch?v=b09U0KLv6I4,
SNSD,Party,6,,https://www.youtube.com/watch?v=HQzu7NYlZNQ,
SNSD,Lion Heart,4,,https://www.youtube.com/watch?v=nVCubhQ454c,
SNSD,You Think,10,,https://www.youtube.com/watch?v=hJYGddE0vHc,
SNSD,Sailing (0805),4,,https://www.youtube.com/watch?v=UlhR0zBFxZE,
SNSD,All Night,6,,https://www.youtube.com/watch?v=f4w8IbQTJpY,
SNSD,Holiday,5,,https://www.youtube.com/watch?v=YwN-CN9EjTg,
SNSD,Overall,10,,,
T-ara,Lie,4,,https://www.youtube.com/watch?v=U7qJMC5TLV8,
T-ara,Bo Peep Bo Peep,0,,https://www.youtube.com/watch?v=NpYvilmhONQ,
T-ara,Like The First Time,4,,https://www.youtube.com/watch?v=EWSTtFoD0Ms,
T-ara,You Drive Me Crazy,1,,https://www.youtube.com/watch?v=d70FQdraoYI,
T-ara,I'm In Pain,4,,https://www.youtube.com/watch?v=NobleBtJNiQ,
T-ara,What's Wrong,2,,https://www.youtube.com/watch?v=h7ewuda5th4,
T-ara,Yayaya,1,,https://www.youtube.com/watch?v=sLfRdyqxXJk,
T-ara,Roly-Poly,1,,https://www.youtube.com/watch?v=xyKdijPsPJw,
T-ara,Roly-Poly in Copacabana,1,,https://www.youtube.com/watch?v=3Xolk2cFzlo,
T-ara,Cry Cry,2,,https://www.youtube.com/watch?v=5M69TE1yzt4,
T-ara,Lovey-Dovey,1,,https://www.youtube.com/watch?v=CJ0djllyqwY,
T-ara,Day by Day,4,,https://www.youtube.com/watch?v=kb6mCsvLqP0,
T-ara,Sexy Love,3,,https://www.youtube.com/watch?v=ShVRP09NCO4,
T-ara,Number Nine,1,,https://www.youtube.com/watch?v=Qk52ypnGs68,
T-ara,Because I Know,2,,https://www.youtube.com/watch?v=7IzezDJrHoU,
T-ara,Do You Know Me,1,,https://www.youtube.com/watch?v=u6oprfVLxAQ,
T-ara,Hide & Seek,3,,https://www.youtube.com/watch?v=nyGV8RLey-8,
T-ara,Sugar Free,1,,https://www.youtube.com/watch?v=q_eo5j5sib8,
T-ara,So Crazy,1,,https://www.youtube.com/watch?v=maSoUetHock,
T-ara,Tiamo,3,,https://www.youtube.com/watch?v=xJHUKzz1vss,
T-ara,What's My Name?,2,,https://www.youtube.com/watch?v=_eQTd-fsKsQ,
T-ara,Overall,1,this is gonna look like trolling but this group is actually horrendous,,
Wonder Girls,Irony,10,,https://www.youtube.com/watch?v=uxFxoLxmcdg,
Wonder Girls,Tell Me,9,,https://www.youtube.com/watch?v=BlHv3BbBv6A,
Wonder Girls,So Hot,10,,https://www.youtube.com/watch?v=lmun5PO54VE,
Wonder Girls,Nobody,8,,https://www.youtube.com/watch?v=QZBn1e9pr2Q,
Wonder Girls,2 Different Tears,4,,https://www.youtube.com/watch?v=Rxh3_sr5UAE,
Wonder Girls,Be My Baby,7,,https://www.youtube.com/watch?v=3fy4cqWMhyI,
Wonder Girls,The DJ Is Mine,3,,https://www.youtube.com/watch?v=doXnuStEf2I,
Wonder Girls,Like This,7,,https://www.youtube.com/watch?v=7EZTUYwjWBs,
Wonder Girls,Like Money,4,,https://www.youtube.com/watch?v=quE6Cq4Q2bs,
Wonder Girls,I Feel You,8,,https://www.youtube.com/watch?v=V9QXQz6uE0M,
Wonder Girls,Why So Lonely,10,,https://www.youtube.com/watch?v=PYGODWJgR-c,
Wonder Girls,Overall,8,,,
